commodity,equity,correlation,z_score_corr,lag1,lag3,lag5,lag10,lag20
Gold,Coeur,,,,,,,
Gold,Hecla,,,,,,,
Gold,FirstMajestic,,,,,,,
Gold,Endeavour,,,,,,,
Gold,Wheaton,,,,,,,
Gold,MAGSilver,,,,,,,
Gold,PanAmerican,,,,,,,
Gold,Fortuna,,,,,,,
Gold,Newmont,,,,,,,
Gold,Barrick,,,,,,,
Gold,Agnico,,,,,,,
Gold,Kinross,,,,,,,
Gold,Freeport,,,,,,,
Gold,SouthernCopper,,,,,,,
Gold,BHP,,,,,,,
Gold,RioTinto,,,,,,,
Gold,Exxon,,,,,,,
Gold,Chevron,,,,,,,
Gold,ConocoPhillips,,,,,,,
Gold,Schlumberger,,,,,,,
Gold,Valero,,,,,,,
Gold,Marathon,,,,,,,
Gold,Phillips66,,,,,,,
Gold,HollyFrontier,,,,,,,
Silver,Coeur,,,,,,,
Silver,Hecla,,,,,,,
Silver,FirstMajestic,,,,,,,
Silver,Endeavour,,,,,,,
Silver,Wheaton,,,,,,,
Silver,MAGSilver,,,,,,,
Silver,PanAmerican,,,,,,,
Silver,Fortuna,,,,,,,
Silver,Newmont,,,,,,,
Silver,Barrick,,,,,,,
Silver,Agnico,,,,,,,
Silver,Kinross,,,,,,,
Silver,Freeport,,,,,,,
Silver,SouthernCopper,,,,,,,
Silver,BHP,,,,,,,
Silver,RioTinto,,,,,,,
Silver,Exxon,,,,,,,
Silver,Chevron,,,,,,,
Silver,ConocoPhillips,,,,,,,
Silver,Schlumberger,,,,,,,
Silver,Valero,,,,,,,
Silver,Marathon,,,,,,,
Silver,Phillips66,,,,,,,
Silver,HollyFrontier,,,,,,,
Platinum,Coeur,,,,,,,
Platinum,Hecla,,,,,,,
Platinum,FirstMajestic,,,,,,,
Platinum,Endeavour,,,,,,,
Platinum,Wheaton,,,,,,,
Platinum,MAGSilver,,,,,,,
Platinum,PanAmerican,,,,,,,
Platinum,Fortuna,,,,,,,
Platinum,Newmont,,,,,,,
Platinum,Barrick,,,,,,,
Platinum,Agnico,,,,,,,
Platinum,Kinross,,,,,,,
Platinum,Freeport,,,,,,,
Platinum,SouthernCopper,,,,,,,
Platinum,BHP,,,,,,,
Platinum,RioTinto,,,,,,,
Platinum,Exxon,,,,,,,
Platinum,Chevron,,,,,,,
Platinum,ConocoPhillips,,,,,,,
Platinum,Schlumberger,,,,,,,
Platinum,Valero,,,,,,,
Platinum,Marathon,,,,,,,
Platinum,Phillips66,,,,,,,
