ISIN,Name,Quantity,Price_Cours,Date,Value_At_Date (EUR),Comment,Class,Strategy,Unnamed: 9,Unnamed: 10,Legend : ,Unnamed: 12,Unnamed: 13,Unnamed: 14,Short,Long,YearMonth
Cash EUR,Cash EUR,1050.0,1.0,2025-01-06,1050,,SC - NL,,,,,,,,,,2025-01
Former_Broker, ETC GOLD AMUNDI PHYS,10.0,99.98,2025-01-07,999.8000000000001,Gold Exposure - Real gold bars audited - avoiding synth gold etcs which can carry a credit risk higher than advertised,SC - NL,Momentum,,,PT,"Pair trading per sector - e.g. EV - Sectorial bullish, some companies are heavily overpriced while others are underpriced - trend reversal in sector is rather fast + high realised vol in some cases",,,,,2025-01
Cash EUR,Cash EUR,45.0,1.0,2025-01-07,45,,SC - NL,,,,SC,"Sectorial carry (PM / Critical supply chain with producer focus due to supply shortage) - BTG, HL are the best in terms of value/price (hecla going up already), on platinum impala or SBSW if wanting 6E + diversification of metal exposure  ",,,,,2025-01
Former_Broker, ETC GOLD AMUNDI PHYS,10.0,109.5,2025-02-05,1095,"Liquidating - 10% gain - too slow in aggregation, will take year long to reach 4k for roughly 40% gain, beating market but not substantially, gold silver ratio to watch - silver breakout potentially - needed exposure to silver - used a bit of leverage at a moment to try out how leveraged ETF work",SC - NL,Momentum,,,NL,"Naked long - Based on earnings projection (PLTR earnings inc, Baidu cash almost equal to valuation)",,,,,2025-02
Cash EUR,Cash EUR,39.07,1.0,2025-02-05,39.07,,SC - NL,,,,DN,"Delta Neutral On sector at least or company - gamma long (French inner instability due to debt and govt dissolving, AI hype straddle serves as ""major"" hedge for crisis, similar for PLTR and TSLA due to their high P/E ratios and valuations based on hope)",,,,,2025-02
Former_Broker,Starbucks short x4,1000.0,0.72,2025-02-08,720,"Inverse correlation on coffee price and coffee places such a sbux - divergence appearing (stock up, coffee price up) whereas margins will compress by next earnings, to hold until end of may - gains aim +50% - pair trading in commo",PT - DN,Arbitrage / Mean reversing,,,Note to self,"Aim for the right delta to profit from convexity on options when buying - avoid far ootm, try 0.1 to 0.2 delta - to be adjusted",,,,,2025-02
Former_Broker,GSCI Coffee short X3,1.0,300.0,2025-02-08,300,Short coffee as cover - it spiked already and price seems way too off to incentivise farmers to sell again - supply shock seems continious over next years until crops yield enhances - aim for 10% downwards on coffee price on short term - pair trading in commo,PT - DN,Arbitrage / Mean reversing,,,,,,,,,2025-02
Former_Broker, ETC AMUNDI PHYS,1.0,111.831,2025-02-08,111.831,Awaiting for other opportunities - keep taking gold appreciation,SC - NL,Momentum,,,Maximum Drawdown : 27.9%,,SILJ Maximum Drawdown : 79%,,,,2025-02
Cash EUR,Cash EUR,31.66,1.0,2025-02-08,31.66,,SC - NL,,,,"Sharpe Ratio : 9.35 (too short term though, need to wait)",,SILJ Sharpe (est) : ,,,,2025-02
Cash EUR,Cash EUR,1613.491,1.0,2025-03-03,1613.491,,SC - NL,,,,Vol Annualized estimation (very high) used for Sharpe : 396%,,,,,,2025-03
Former_Broker,XAGUSD 45C 1225,3000.0,0.089,2025-03-04,267,"Shortage in XAG (silver) supply >> demand, and supply shortage is underpriced vis-à-vis solar power need + potential need from central banks / sov funds / AM later after gold - issue is storage cost higher than gold - metallurgical need to surge - aim for +50% on option",SC - NL,Momentum,,,,,,,,,2025-03
Former_Broker,IAMGOLD Levrage X3,160.0,8.5,2025-03-04,1360,Aim for +30% - May benefit from stabilisation of burkina fasso govt and efforts to build infrastructure - carry effect of gold sector and reduced cost on labor,SC - NL,Momentum,,,Date,Total_Portfolio (EUR) - excluding initial 50€ for transaction fees,Gain % (Minus Transac fees 50E),"Cumul_Gain 
(base 1000)",,,2025-03
Cash EUR,Cash EUR,172.32,1.0,2025-03-04,172.32,,SC - NL,,, ,2025-01-07 00:00:00,1000,0,1,,,2025-03
Former_Broker,CBOE VIX x3 Long,3500.0,0.11,2025-03-29,385,"market complacency until a week before tariffs, vix relatively low pre-storm -> x4 gains post transaction costs (1103eur) - profitting from tariffs vol spikes on announces - luckily the numbers were calculated willy nilly based on trade deficit, not taking into acc the deficit caused by petrodollars - a cause of hegemony reversed, dollar to be shorted from here, which is also the intention of USGOP - devalue currency for better exports - do not go against the wind",DN - Gamma long,Heavy spike,,,2025-02-08 00:00:00,1163.491,0.22472736842105268,1.163491,,,2025-03
Cash EUR,Cash EUR,172.32,1.0,2025-03-29,1901.44,,SC - DN,Mean Reversing,,,2025-03-03 00:00:00,1799.32,0.6159268462879359,1.79932,,,2025-03
Former_Broker,CCJ US 70C 0625,3000.0,0.09,2025-04-15,270,"Nuclear exposure, potential sanctions on neighbooring countries and trading partners in case of non ending of US proxy war w/ Russia via Ukraine (think kazakhstan uranium sanctionned) - operates processing services which are the lucrative part of nuclear right now - high P/E but will benefit from news sentiment - relatively underpriced vol compared to incoming events - major player poised to take advantage of tailwind - aim for 0.8 - breakeven at 0.2",SC - DN,Mean Reversing + momentum,,,2025-03-29 00:00:00,2286.44,0.3070450232090185,2.2864400000000002,,,2025-04
Former_Broker,CCJ US 30p 0625,1500.0,0.23,2025-04-15,345,"Nuclear exposure, potential sanctions on neighbooring countries and trading partners in case of non ending of US proxy war w/ Russia via Ukraine (think kazakhstan uranium sanctionned) - operates processing services which are the lucrative part of nuclear right now - high P/E but will benefit from news sentiment - relatively underpriced vol compared to incoming events - major player poised to take advantage of tailwind - use as protection - supported by uranium servicing prices",SC - DN,Mean Reversing + momentum,,,2025-04-15 00:00:00,3436.0000000000005,0.5363703028026687,3.4360000000000004,,,2025-04
Former_Broker,HCC US 70C 1225,1860.0,0.16,2025-04-15,297.6,Local vol underpriced - See cost curve of metalurgical coal - best efficiency in the world + coal equity hitting low - metalurgical coal +4% CAGR - heavy reliance on coal worldwide (EM especially) - next earnings calls can be very deterministic if profit margins still positive despite current coal price being low - aim for 0.65 - breakeven at 0.3,SC - DN,Mean Reversing + momentum,,,2025-05-31 00:00:00,5108.8150000000005,0.5088053750738333,5.108815000000001,,,2025-04
Former_Broker,HCC US 35p 1225,900.0,0.27,2025-04-15,243.00000000000003,Local vol underpriced - See cost curve of metalurgical coal - best efficiency in the world + coal equity hitting low - metalurgical coal +4% CAGR - heavy reliance on coal worldwide (EM especially) - next earnings calls can be very deterministic if profit margins still positive despite current coal price being low - use as protection - supported by met coal price,SC - DN,Mean Reversing + momentum,,,31/06/2025,3679.535,-0.2726488317916351,3.679535,,,2025-04
Former_Broker, ETC AMUNDI PHYS,20.0,112.25,2025-04-15,2245,Awaiting for other opportunities - keep taking gold appreciation - long on short term gold vs USD especially given tariff situation,SC - NL,Momentum,,,2025-07-31 00:00:00,4518.903,0.24503634763130822,4.518903,,,2025-04
Cash EUR,Cash EUR,35.4,1.0,2025-04-15,35.4,,SC - NL,,,,2025-08-04 00:00:00,5639.202,0.2618761248565924,5.639202,,,2025-04
Cash EUR,Cash EUR,5133.92,1.0,2025-05-20,5133.92,,SC - NL,,,,2025-08-30 00:00:00,8026.08,0.43599748228816915,8.02608,,,2025-05
DE000ME850L6,BYD LEVERAGE X5,54.0,17.85,2025-05-31,963.9000000000001,"Pair trading EV - Sectorial bullish - Chinese EV > US EV, EU Trailing, looking for convergence towards mean between an overvalued stock (TSLA) and an undervalued stock (BYD)",PT - DN,Mean Reversing + momentum,,,Today,14041.63,0.11834303739045349,14.04163,,,2025-05
DE000MK5FEF0,Tesla SHORT X8,7936.0,0.143,2025-05-31,1134.848,"Pair trading EV - Sectorial bullish - Chinese EV > US EV, EU Trailing, looking for convergence towards mean between an overvalued stock (TSLA) and an undervalued stock (BYD)",PT - DN,Mean Reversing + momentum,,,,,,,,,2025-05
FR0013416716, ETC AMUNDI PHYS,21.0,115.007,2025-05-31,2415.147,High liq. Stabilisation of portfolio awaiting for opportunities to study,SC - NL,Momentum,,,,,,,,,2025-05
Cash EUR,Cash EUR,594.92,1.0,2025-05-31,594.92,,SC - NL,,,,,,,,,,2025-05
DE000ME850L6,BYD LEVERAGE X5,54.0,12.74,2025-06-30,687.96,Starting to get burned by theta decay AND real vol vs priced vol- hurting the returns. Position taken when tesla was 335 - went up to x3 on the short because of Elon tweets and failed to sell. Holding too long loses lots of money in this type of instrument,PT - DN,Mean Reversing,,,Metric,My Portfolio,SILJ,HUI,,,2025-06
DE000MK5FEF0,Tesla SHORT X8,6800.0,0.058,2025-06-30,394.40000000000003,Starting to get burned by theta decay AND real vol vs priced vol- hurting the returns. Position taken when tesla was 335 - went up to x3 on the short because of Elon tweets and failed to sell. Holding too long loses lots of money in this type of instrument,PT - DN,Mean Reversing,,,Cum. Ret.,13.04,1.26,0.719,,,2025-06
 DE000MK45SK5,PLTR US LEVERAGE X6,7.0,29.87,2025-06-30,209.09,"""State"" backed - Over valued, yet will be higher on earnings incoming",SC - NL,Momentum,,,1year ,15,0.794,0.816,,,2025-06
FR0013416716,ETC AMUNDI PHYS,21.0,111.085,2025-06-30,2332.785,High liq. Stabilisation of portfolio awaiting for opportunities to study,SC - NL,Momentum,,,Sensi,"Gold Crash, Silver Crash, Chinese stocks bans",High XAG,High XAU,,,2025-06
Cash EUR,Cash EUR,55.3,1.0,2025-06-30,55.3,,SC - NL,,,,Vol,"Bought relatively low implied vol, realised is higher - overall higher than SILJ on the period",High - Mining / junior miners are volatile (historical large drawdowns),High - Gold miners leveraged exposure to gold,,,2025-06
DE000ME850L6,BYD LEVERAGE X5,54.0,17.31,2025-07-31,934.7399999999999,"Coming back up, market being rational ? Price wars are received … in a mitigated way not positive way",PT - DN,Mean Reversing,,,Outperf,Above benchmarks (set as benchmark by itself),Under,Under,,,2025-07
DE000MK45SK5,PLTR US LEVERAGE X6,7.0,94.66,2025-07-31,662.62,"Up 300% on naked long, take profit avoid burns - earnings still disappointing factually speaking (fell from 180 to 150 two weeks after I left)",SC - NL,Momentum,,,,,,,,,2025-07
DE000MK5FEF0,Tesla SHORT X8,6800.0,0.035,2025-07-31,238.00000000000003,,PT - DN,Mean Reversing,,,,,,,,,2025-07
DE000MK95EJ2,Tesla SHORT X10,36.0,7.1,2025-07-31,255.6,"Doubling on the short after 2nd tweets of musk on politics, and earnings call announcing future hard quarters - Irrational market - x10 just for the next jump down then exiting TSLA - Never bet with or against musk, Warren / Munger were right",PT - DN,Mean Reversing,,,,,,,,,2025-07
FR0013416716,ETC AMUNDI PHYS,21.0,114.303,2025-07-31,2400.363,,SC - NL,Momentum,,,,,,,,,2025-07
Cash EUR,Cash EUR,27.58,1.0,2025-07-31,27.58,,SC - NL,,,,,,,,,,2025-07
DE000MG1VFU8,HL 12C 190925,2000.0,0.261,2025-08-04,522,"Highest sectorial performance in terms of equity ytd (silver), high likely that hecla (AISC approx 8usd/oz one of best production and cost ctrl in sector) benefits from high growth compared to sector avg of ~14, up to 20) - US corp, tariff hedged - incoming silver criticality for solar",SC - NL,Momentum,,,,,,,,,2025-08
,BTG 6C 190925,2000.0,0.061,2025-08-04,122,"Instead of exposure to gold, exposure to miners - given earlier divergence between growth in the two, leveraged through options, B2G best valuation in sector (production, AISC, sales, market cap, debt, operating margins, target at least 5.5 by year end)",SC - NL,Momentum,,,,,,,,,2025-08
FR0013416716,ETC AMUNDI PHYS,21.0,116.322,2025-08-04,2442.762,To be reduced - exposure to gold is on a plateau,SC - NL,Momentum,,,,,,,,,2025-08
DE000MG5MTK,NVDA 120p 171225,1142.0,0.175,2025-08-04,199.85,AI seems bubbly - the only cash gen corp in the bubble - revenue concentration risk in hypervisors clients - gamma long,SC - DN,Momentum,,,,,,,,,2025-08
DE000MG6ERS,NVDA 220C 190126,400.0,0.25,2025-08-04,100,AI seems bubbly - the only cash gen corp in the bubble - revenue concentration risk in hypervisors clients - gamma long,SC - DN,Momentum,,,,,,,,,2025-08
DE000ME850L6,BYD LEVERAGE X5,54.0,7.11,2025-08-04,383.94,"Chinese state unhappy about price cuts, despite company good perf, sentiment analysis gives negative returns on social media on the stock, good returns on products - to be liquidated",PT - DN,Mean Reversing,,,,,,,,,2025-08
GFI,GOLD FIELDS LTD ADR,73.0,25.28,2025-08-04,1845.44,One of the most vol miners despite market cap - exposure to gold-related-equity before H1 earnings call - to be liquidated at 33usd - care of taxation / royalties (South Africa) and long term contracts on gold contracting margins despite high gold spot price,SC - NL,Momentum,,,,,,,,,2025-08
Cash EUR,Cash EUR,23.21,1.0,2025-08-04,23.21,,SC - NL,,,,,,,,,,2025-08
DE000ME850L6,BYD LEVERAGE X5,54.0,6.64,2025-08-31,358.56,Liquidating,PT - DN,Mean Reversing,,,,,,,,,2025-08
,Baidu 100C 190925,2312.0,0.07,2025-08-31,161.84,Heavily underpriced volatility - Left to exercise on expiry - learned about liquidity lock in,SC - DN,Mean Reversing,,,,,,,,,2025-08
DE000MJ2HAZ2,Baidu 105C 190925,2222.0,0.15,2025-08-31,333.3,"Heavily underpriced volatility - put not far from ATM but fundamentals are strong, might expire worthless",SC - DN,Mean Reversing,,,,,,,,,2025-08
,Baidu 70p 190925,828.0,0.26,2025-08-31,215.28,AI seems bubbly - the only cash gen corp in the bubble - concentration risk in hypervisors,SC - DN,Mean Reversing,,,,,,,,,2025-08
